0_practice,Target,gash,0,gash,2,dash,4,bash,6,dash,8
0_practice,Masker,dash,11025,dash,11027,bash,11029,gash,11031,gash,11033
1_practice,Target,gash,0,dash,2,bash,4,dash,6,dash,8
1_practice,Masker,dash,11025,bash,11027,dash,11029,gash,11031,gash,11033
0_side=l_itd=50_az=0_mag=0,Target,gash,0,gash,2,dash,4,gash,6,gash,8
0_side=l_itd=50_az=0_mag=0,Masker,dash,11025,dash,11027,gash,11029,bash,11031,bash,11033
1_side=l_itd=50_az=0_mag=0,Target,dash,0,gash,2,gash,4,gash,6,dash,8
1_side=l_itd=50_az=0_mag=0,Masker,gash,11025,dash,11027,dash,11029,dash,11031,bash,11033
0_side=r_itd=50_az=0_mag=0,Masker,dash,0,bash,2,dash,4,gash,6,gash,8
0_side=r_itd=50_az=0_mag=0,Target,bash,11025,dash,11027,bash,11029,dash,11031,dash,11033
1_side=r_itd=50_az=0_mag=0,Masker,bash,0,dash,2,dash,4,bash,6,bash,8
1_side=r_itd=50_az=0_mag=0,Target,gash,11025,gash,11027,bash,11029,gash,11031,dash,11033
0_side=l_itd=500_az=0_mag=0,Target,bash,0,bash,2,dash,4,gash,6,bash,8
0_side=l_itd=500_az=0_mag=0,Masker,dash,11025,dash,11027,gash,11029,dash,11031,gash,11033
1_side=l_itd=500_az=0_mag=0,Target,gash,0,bash,2,dash,4,gash,6,gash,8
1_side=l_itd=500_az=0_mag=0,Masker,dash,11025,gash,11027,bash,11029,bash,11031,bash,11033
0_side=r_itd=500_az=0_mag=0,Masker,gash,0,gash,2,dash,4,gash,6,dash,8
0_side=r_itd=500_az=0_mag=0,Target,bash,11025,dash,11027,bash,11029,bash,11031,gash,11033
1_side=r_itd=500_az=0_mag=0,Masker,gash,0,bash,2,bash,4,dash,6,gash,8
1_side=r_itd=500_az=0_mag=0,Target,dash,11025,dash,11027,dash,11029,bash,11031,dash,11033
0_side=l_itd=0_az=10_mag=0,Target,gash,0,bash,2,dash,4,gash,6,bash,8
0_side=l_itd=0_az=10_mag=0,Masker,bash,11025,dash,11027,gash,11029,dash,11031,dash,11033
1_side=l_itd=0_az=10_mag=0,Target,dash,0,dash,2,dash,4,bash,6,bash,8
1_side=l_itd=0_az=10_mag=0,Masker,bash,11025,gash,11027,gash,11029,gash,11031,gash,11033
0_side=r_itd=0_az=10_mag=0,Masker,bash,0,bash,2,bash,4,gash,6,gash,8
0_side=r_itd=0_az=10_mag=0,Target,gash,11025,dash,11027,dash,11029,bash,11031,bash,11033
1_side=r_itd=0_az=10_mag=0,Masker,dash,0,dash,2,gash,4,bash,6,gash,8
1_side=r_itd=0_az=10_mag=0,Target,gash,11025,bash,11027,dash,11029,gash,11031,dash,11033
0_practice,Target,bash,0,dash,22050,gash,44100,bash,66150,dash,88200
0_practice,Masker,dash,11025,bash,33075,bash,55125,gash,77175,gash,99225
1_practice,Target,gash,0,dash,22050,gash,44100,dash,66150,dash,88200
1_practice,Masker,dash,11025,gash,33075,dash,55125,bash,77175,bash,99225
0_side=l_itd=50_az=0_mag=0,Target,dash,0,bash,22050,dash,44100,bash,66150,bash,88200
0_side=l_itd=50_az=0_mag=0,Masker,bash,11025,gash,33075,bash,55125,dash,77175,dash,99225
1_side=l_itd=50_az=0_mag=0,Target,dash,0,bash,22050,bash,44100,gash,66150,dash,88200
1_side=l_itd=50_az=0_mag=0,Masker,bash,11025,gash,33075,gash,55125,bash,77175,gash,99225
0_side=r_itd=50_az=0_mag=0,Masker,bash,0,dash,22050,dash,44100,gash,66150,bash,88200
0_side=r_itd=50_az=0_mag=0,Target,dash,11025,gash,33075,gash,55125,dash,77175,gash,99225
1_side=r_itd=50_az=0_mag=0,Masker,bash,0,dash,22050,gash,44100,gash,66150,gash,88200
1_side=r_itd=50_az=0_mag=0,Target,dash,11025,bash,33075,bash,55125,dash,77175,dash,99225
0_side=l_itd=500_az=0_mag=0,Target,gash,0,dash,22050,bash,44100,gash,66150,bash,88200
0_side=l_itd=500_az=0_mag=0,Masker,dash,11025,bash,33075,gash,55125,bash,77175,dash,99225
1_side=l_itd=500_az=0_mag=0,Target,gash,0,gash,22050,bash,44100,gash,66150,bash,88200
1_side=l_itd=500_az=0_mag=0,Masker,bash,11025,bash,33075,gash,55125,dash,77175,gash,99225
0_side=r_itd=500_az=0_mag=0,Masker,dash,0,bash,22050,gash,44100,gash,66150,gash,88200
0_side=r_itd=500_az=0_mag=0,Target,gash,11025,gash,33075,bash,55125,dash,77175,dash,99225
1_side=r_itd=500_az=0_mag=0,Masker,bash,0,bash,22050,bash,44100,dash,66150,bash,88200
1_side=r_itd=500_az=0_mag=0,Target,gash,11025,gash,33075,gash,55125,gash,77175,dash,99225
0_side=l_itd=0_az=10_mag=0,Target,gash,0,bash,22050,gash,44100,gash,66150,gash,88200
0_side=l_itd=0_az=10_mag=0,Masker,dash,11025,dash,33075,dash,55125,dash,77175,dash,99225
1_side=l_itd=0_az=10_mag=0,Target,bash,0,bash,22050,dash,44100,gash,66150,bash,88200
1_side=l_itd=0_az=10_mag=0,Masker,dash,11025,dash,33075,gash,55125,dash,77175,gash,99225
0_side=r_itd=0_az=10_mag=0,Masker,dash,0,bash,22050,dash,44100,dash,66150,dash,88200
0_side=r_itd=0_az=10_mag=0,Target,bash,11025,gash,33075,bash,55125,bash,77175,bash,99225
1_side=r_itd=0_az=10_mag=0,Masker,dash,0,bash,22050,bash,44100,bash,66150,bash,88200
1_side=r_itd=0_az=10_mag=0,Target,bash,11025,gash,33075,gash,55125,gash,77175,gash,99225
0_side=l_itd=0_az=10_mag=1,Target,bash,0,dash,22050,gash,44100,bash,66150,bash,88200
0_side=l_itd=0_az=10_mag=1,Masker,dash,11025,bash,33075,dash,55125,dash,77175,gash,99225
1_side=l_itd=0_az=10_mag=1,Target,gash,0,bash,22050,dash,44100,bash,66150,dash,88200
1_side=l_itd=0_az=10_mag=1,Masker,bash,11025,dash,33075,gash,55125,gash,77175,bash,99225
0_side=r_itd=0_az=10_mag=1,Masker,gash,0,bash,22050,dash,44100,bash,66150,dash,88200
0_side=r_itd=0_az=10_mag=1,Target,dash,11025,dash,33075,gash,55125,dash,77175,bash,99225
1_side=r_itd=0_az=10_mag=1,Masker,dash,0,gash,22050,dash,44100,bash,66150,dash,88200
1_side=r_itd=0_az=10_mag=1,Target,bash,11025,dash,33075,gash,55125,gash,77175,bash,99225
0_practice,Target,gash,0,bash,22050,bash,44100,gash,66150,bash,88200
0_practice,Masker,dash,11025,dash,33075,dash,55125,bash,77175,dash,99225
1_practice,Target,gash,0,gash,22050,bash,44100,gash,66150,dash,88200
1_practice,Masker,bash,11025,bash,33075,gash,55125,dash,77175,bash,99225
0_side=l_itd=50_az=0_mag=0,Target,gash,0,gash,22050,gash,44100,bash,66150,bash,88200
0_side=l_itd=50_az=0_mag=0,Masker,bash,11025,bash,33075,bash,55125,gash,77175,dash,99225
1_side=l_itd=50_az=0_mag=0,Target,gash,0,bash,22050,gash,44100,dash,66150,dash,88200
1_side=l_itd=50_az=0_mag=0,Masker,dash,11025,gash,33075,bash,55125,bash,77175,bash,99225
0_side=r_itd=50_az=0_mag=0,Masker,gash,0,dash,22050,gash,44100,dash,66150,dash,88200
0_side=r_itd=50_az=0_mag=0,Target,bash,11025,bash,33075,bash,55125,gash,77175,bash,99225
1_side=r_itd=50_az=0_mag=0,Masker,dash,0,gash,22050,bash,44100,bash,66150,bash,88200
1_side=r_itd=50_az=0_mag=0,Target,gash,11025,dash,33075,dash,55125,dash,77175,dash,99225
0_side=l_itd=500_az=0_mag=0,Target,dash,0,gash,22050,bash,44100,gash,66150,dash,88200
0_side=l_itd=500_az=0_mag=0,Masker,bash,11025,bash,33075,dash,55125,bash,77175,bash,99225
1_side=l_itd=500_az=0_mag=0,Target,gash,0,gash,22050,gash,44100,bash,66150,gash,88200
1_side=l_itd=500_az=0_mag=0,Masker,dash,11025,dash,33075,bash,55125,dash,77175,bash,99225
0_side=r_itd=500_az=0_mag=0,Masker,gash,0,dash,22050,dash,44100,dash,66150,gash,88200
0_side=r_itd=500_az=0_mag=0,Target,dash,11025,bash,33075,gash,55125,bash,77175,bash,99225
1_side=r_itd=500_az=0_mag=0,Masker,dash,0,gash,22050,gash,44100,bash,66150,gash,88200
1_side=r_itd=500_az=0_mag=0,Target,bash,11025,dash,33075,dash,55125,gash,77175,dash,99225
0_side=l_itd=0_az=10_mag=0,Target,dash,0,gash,22050,dash,44100,bash,66150,gash,88200
0_side=l_itd=0_az=10_mag=0,Masker,bash,11025,bash,33075,bash,55125,gash,77175,dash,99225
1_side=l_itd=0_az=10_mag=0,Target,bash,0,gash,22050,dash,44100,bash,66150,dash,88200
1_side=l_itd=0_az=10_mag=0,Masker,gash,11025,dash,33075,gash,55125,gash,77175,bash,99225
0_side=r_itd=0_az=10_mag=0,Masker,dash,0,dash,22050,bash,44100,gash,66150,gash,88200
0_side=r_itd=0_az=10_mag=0,Target,gash,11025,gash,33075,gash,55125,dash,77175,bash,99225
1_side=r_itd=0_az=10_mag=0,Masker,bash,0,gash,22050,gash,44100,dash,66150,gash,88200
1_side=r_itd=0_az=10_mag=0,Target,dash,11025,dash,33075,dash,55125,bash,77175,dash,99225
0_side=l_itd=0_az=10_mag=1,Target,gash,0,dash,22050,bash,44100,dash,66150,dash,88200
0_side=l_itd=0_az=10_mag=1,Masker,bash,11025,gash,33075,dash,55125,bash,77175,bash,99225
1_side=l_itd=0_az=10_mag=1,Target,dash,0,bash,22050,bash,44100,dash,66150,dash,88200
1_side=l_itd=0_az=10_mag=1,Masker,bash,11025,gash,33075,gash,55125,gash,77175,bash,99225
0_side=r_itd=0_az=10_mag=1,Masker,bash,0,dash,22050,gash,44100,dash,66150,dash,88200
0_side=r_itd=0_az=10_mag=1,Target,dash,11025,bash,33075,bash,55125,bash,77175,gash,99225
1_side=r_itd=0_az=10_mag=1,Masker,dash,0,gash,22050,dash,44100,gash,66150,gash,88200
1_side=r_itd=0_az=10_mag=1,Target,bash,11025,dash,33075,bash,55125,dash,77175,dash,99225
0_practice,Target,dash,0,bash,22050,dash,44100,bash,66150,dash,88200,dash,110250,bash,132300,gash,154350,dash,176400,bash,198450,dash,220500,dash,242550,bash,264600,bash,286650
0_practice,Masker,bash,11025,dash,33075,gash,55125,gash,77175,gash,99225,bash,121275,dash,143325,bash,165375,gash,187425,gash,209475,gash,231525,bash,253575,dash,275625,dash,297675
1_practice,Target,gash,0,bash,22050,gash,44100,bash,66150,dash,88200,dash,110250,dash,132300,gash,154350,bash,176400,gash,198450,bash,220500,bash,242550,dash,264600,bash,286650
1_practice,Masker,bash,11025,dash,33075,bash,55125,dash,77175,bash,99225,bash,121275,gash,143325,bash,165375,dash,187425,dash,209475,dash,231525,dash,253575,bash,275625,gash,297675
2_practice,Target,bash,0,gash,22050,bash,44100,dash,66150,dash,88200,bash,110250,dash,132300,gash,154350,bash,176400,bash,198450,dash,220500,dash,242550,dash,264600,gash,286650
2_practice,Masker,gash,11025,bash,33075,gash,55125,bash,77175,bash,99225,gash,121275,gash,143325,dash,165375,gash,187425,dash,209475,gash,231525,gash,253575,gash,275625,bash,297675
0_side=l_itd=50_az=0_mag=0,Target,dash,0,gash,22050,bash,44100,dash,66150,bash,88200,dash,110250,dash,132300,gash,154350,gash,176400,gash,198450,gash,220500,bash,242550,dash,264600,bash,286650
0_side=l_itd=50_az=0_mag=0,Masker,bash,11025,bash,33075,gash,55125,gash,77175,gash,99225,gash,121275,bash,143325,bash,165375,dash,187425,dash,209475,dash,231525,dash,253575,bash,275625,dash,297675
1_side=l_itd=50_az=0_mag=0,Target,dash,0,gash,22050,bash,44100,bash,66150,dash,88200,gash,110250,gash,132300,gash,154350,gash,176400,dash,198450,dash,220500,bash,242550,dash,264600,gash,286650
1_side=l_itd=50_az=0_mag=0,Masker,bash,11025,bash,33075,gash,55125,gash,77175,gash,99225,dash,121275,bash,143325,dash,165375,dash,187425,gash,209475,gash,231525,gash,253575,gash,275625,bash,297675
2_side=l_itd=50_az=0_mag=0,Target,dash,0,dash,22050,bash,44100,bash,66150,gash,88200,dash,110250,gash,132300,gash,154350,bash,176400,gash,198450,dash,220500,gash,242550,dash,264600,dash,286650
2_side=l_itd=50_az=0_mag=0,Masker,bash,11025,gash,33075,dash,55125,dash,77175,dash,99225,gash,121275,dash,143325,bash,165375,dash,187425,dash,209475,bash,231525,bash,253575,gash,275625,gash,297675
0_side=r_itd=50_az=0_mag=0,Masker,bash,0,bash,22050,bash,44100,bash,66150,gash,88200,dash,110250,bash,132300,dash,154350,bash,176400,dash,198450,gash,220500,bash,242550,dash,264600,gash,286650
0_side=r_itd=50_az=0_mag=0,Target,gash,11025,gash,33075,dash,55125,dash,77175,dash,99225,bash,121275,gash,143325,bash,165375,dash,187425,bash,209475,bash,231525,gash,253575,gash,275625,dash,297675
1_side=r_itd=50_az=0_mag=0,Masker,gash,0,bash,22050,gash,44100,gash,66150,dash,88200,dash,110250,gash,132300,gash,154350,gash,176400,dash,198450,bash,220500,gash,242550,gash,264600,gash,286650
1_side=r_itd=50_az=0_mag=0,Target,bash,11025,gash,33075,bash,55125,dash,77175,gash,99225,gash,121275,bash,143325,dash,165375,dash,187425,bash,209475,gash,231525,dash,253575,dash,275625,dash,297675
2_side=r_itd=50_az=0_mag=0,Masker,dash,0,dash,22050,dash,44100,dash,66150,gash,88200,bash,110250,bash,132300,gash,154350,bash,176400,dash,198450,gash,220500,bash,242550,gash,264600,bash,286650
2_side=r_itd=50_az=0_mag=0,Target,bash,11025,gash,33075,gash,55125,gash,77175,dash,99225,gash,121275,dash,143325,bash,165375,dash,187425,gash,209475,dash,231525,dash,253575,dash,275625,dash,297675
0_side=l_itd=500_az=0_mag=0,Target,bash,0,gash,22050,bash,44100,gash,66150,bash,88200,dash,110250,gash,132300,dash,154350,gash,176400,dash,198450,gash,220500,dash,242550,bash,264600,bash,286650
0_side=l_itd=500_az=0_mag=0,Masker,gash,11025,bash,33075,dash,55125,bash,77175,dash,99225,bash,121275,bash,143325,gash,165375,bash,187425,bash,209475,bash,231525,gash,253575,gash,275625,gash,297675
1_side=l_itd=500_az=0_mag=0,Target,gash,0,gash,22050,dash,44100,dash,66150,dash,88200,bash,110250,dash,132300,bash,154350,dash,176400,bash,198450,bash,220500,gash,242550,bash,264600,bash,286650
1_side=l_itd=500_az=0_mag=0,Masker,dash,11025,dash,33075,gash,55125,bash,77175,gash,99225,gash,121275,bash,143325,gash,165375,bash,187425,dash,209475,dash,231525,dash,253575,dash,275625,dash,297675
2_side=l_itd=500_az=0_mag=0,Target,dash,0,dash,22050,gash,44100,bash,66150,gash,88200,bash,110250,gash,132300,bash,154350,bash,176400,bash,198450,dash,220500,dash,242550,dash,264600,bash,286650
2_side=l_itd=500_az=0_mag=0,Masker,bash,11025,gash,33075,dash,55125,dash,77175,dash,99225,gash,121275,dash,143325,gash,165375,gash,187425,gash,209475,bash,231525,gash,253575,bash,275625,gash,297675
0_side=r_itd=500_az=0_mag=0,Masker,gash,0,bash,22050,gash,44100,gash,66150,dash,88200,gash,110250,bash,132300,gash,154350,dash,176400,bash,198450,dash,220500,gash,242550,dash,264600,gash,286650
0_side=r_itd=500_az=0_mag=0,Target,dash,11025,gash,33075,dash,55125,dash,77175,bash,99225,dash,121275,dash,143325,dash,165375,bash,187425,gash,209475,bash,231525,bash,253575,gash,275625,dash,297675
1_side=r_itd=500_az=0_mag=0,Masker,bash,0,gash,22050,bash,44100,dash,66150,gash,88200,dash,110250,gash,132300,bash,154350,dash,176400,dash,198450,dash,220500,bash,242550,dash,264600,bash,286650
1_side=r_itd=500_az=0_mag=0,Target,dash,11025,bash,33075,dash,55125,bash,77175,dash,99225,gash,121275,bash,143325,dash,165375,gash,187425,bash,209475,bash,231525,dash,253575,gash,275625,dash,297675
2_side=r_itd=500_az=0_mag=0,Masker,bash,0,gash,22050,gash,44100,bash,66150,dash,88200,bash,110250,bash,132300,gash,154350,dash,176400,gash,198450,gash,220500,bash,242550,bash,264600,dash,286650
2_side=r_itd=500_az=0_mag=0,Target,gash,11025,bash,33075,bash,55125,gash,77175,bash,99225,dash,121275,dash,143325,bash,165375,gash,187425,dash,209475,bash,231525,dash,253575,dash,275625,gash,297675
0_side=l_itd=0_az=10_mag=0,Target,dash,0,dash,22050,gash,44100,dash,66150,dash,88200,bash,110250,dash,132300,gash,154350,gash,176400,bash,198450,bash,220500,gash,242550,dash,264600,dash,286650
0_side=l_itd=0_az=10_mag=0,Masker,gash,11025,gash,33075,bash,55125,gash,77175,bash,99225,dash,121275,gash,143325,bash,165375,dash,187425,dash,209475,dash,231525,dash,253575,bash,275625,bash,297675
1_side=l_itd=0_az=10_mag=0,Target,dash,0,bash,22050,gash,44100,gash,66150,bash,88200,gash,110250,gash,132300,gash,154350,gash,176400,dash,198450,bash,220500,gash,242550,dash,264600,gash,286650
1_side=l_itd=0_az=10_mag=0,Masker,gash,11025,dash,33075,dash,55125,dash,77175,dash,99225,bash,121275,dash,143325,bash,165375,bash,187425,gash,209475,dash,231525,bash,253575,bash,275625,bash,297675
2_side=l_itd=0_az=10_mag=0,Target,dash,0,dash,22050,dash,44100,bash,66150,dash,88200,bash,110250,bash,132300,dash,154350,bash,176400,bash,198450,gash,220500,gash,242550,dash,264600,gash,286650
2_side=l_itd=0_az=10_mag=0,Masker,bash,11025,bash,33075,gash,55125,gash,77175,gash,99225,dash,121275,dash,143325,gash,165375,dash,187425,dash,209475,bash,231525,bash,253575,bash,275625,bash,297675
0_side=r_itd=0_az=10_mag=0,Masker,gash,0,bash,22050,dash,44100,bash,66150,gash,88200,dash,110250,bash,132300,dash,154350,dash,176400,gash,198450,bash,220500,gash,242550,gash,264600,gash,286650
0_side=r_itd=0_az=10_mag=0,Target,dash,11025,gash,33075,gash,55125,gash,77175,bash,99225,bash,121275,gash,143325,bash,165375,bash,187425,bash,209475,gash,231525,dash,253575,dash,275625,dash,297675
1_side=r_itd=0_az=10_mag=0,Masker,bash,0,bash,22050,dash,44100,gash,66150,dash,88200,gash,110250,gash,132300,dash,154350,dash,176400,dash,198450,bash,220500,gash,242550,dash,264600,dash,286650
1_side=r_itd=0_az=10_mag=0,Target,gash,11025,dash,33075,gash,55125,dash,77175,gash,99225,dash,121275,bash,143325,gash,165375,bash,187425,gash,209475,dash,231525,dash,253575,gash,275625,gash,297675
2_side=r_itd=0_az=10_mag=0,Masker,gash,0,bash,22050,bash,44100,dash,66150,dash,88200,gash,110250,dash,132300,gash,154350,bash,176400,gash,198450,gash,220500,dash,242550,gash,264600,bash,286650
2_side=r_itd=0_az=10_mag=0,Target,bash,11025,dash,33075,dash,55125,gash,77175,gash,99225,dash,121275,gash,143325,bash,165375,gash,187425,bash,209475,bash,231525,gash,253575,bash,275625,gash,297675
0_side=l_itd=0_az=10_mag=1,Target,gash,0,bash,22050,dash,44100,gash,66150,gash,88200,bash,110250,gash,132300,dash,154350,gash,176400,gash,198450,dash,220500,dash,242550,bash,264600,gash,286650
0_side=l_itd=0_az=10_mag=1,Masker,bash,11025,gash,33075,gash,55125,bash,77175,dash,99225,gash,121275,bash,143325,bash,165375,bash,187425,bash,209475,gash,231525,bash,253575,gash,275625,dash,297675
1_side=l_itd=0_az=10_mag=1,Target,dash,0,dash,22050,bash,44100,dash,66150,gash,88200,gash,110250,bash,132300,gash,154350,dash,176400,bash,198450,gash,220500,bash,242550,dash,264600,bash,286650
1_side=l_itd=0_az=10_mag=1,Masker,gash,11025,bash,33075,gash,55125,bash,77175,bash,99225,bash,121275,gash,143325,dash,165375,gash,187425,gash,209475,dash,231525,dash,253575,gash,275625,dash,297675
2_side=l_itd=0_az=10_mag=1,Target,dash,0,dash,22050,bash,44100,bash,66150,gash,88200,bash,110250,dash,132300,gash,154350,dash,176400,gash,198450,bash,220500,gash,242550,dash,264600,dash,286650
2_side=l_itd=0_az=10_mag=1,Masker,gash,11025,bash,33075,gash,55125,gash,77175,bash,99225,gash,121275,bash,143325,dash,165375,bash,187425,dash,209475,gash,231525,bash,253575,gash,275625,gash,297675
0_side=r_itd=0_az=10_mag=1,Masker,gash,0,bash,22050,bash,44100,dash,66150,dash,88200,dash,110250,dash,132300,bash,154350,bash,176400,dash,198450,dash,220500,gash,242550,dash,264600,bash,286650
0_side=r_itd=0_az=10_mag=1,Target,bash,11025,gash,33075,gash,55125,gash,77175,bash,99225,bash,121275,gash,143325,dash,165375,dash,187425,bash,209475,bash,231525,dash,253575,gash,275625,gash,297675
1_side=r_itd=0_az=10_mag=1,Masker,dash,0,dash,22050,dash,44100,dash,66150,dash,88200,bash,110250,bash,132300,dash,154350,dash,176400,bash,198450,bash,220500,dash,242550,gash,264600,dash,286650
1_side=r_itd=0_az=10_mag=1,Target,gash,11025,gash,33075,bash,55125,gash,77175,gash,99225,dash,121275,gash,143325,gash,165375,bash,187425,gash,209475,gash,231525,gash,253575,bash,275625,gash,297675
2_side=r_itd=0_az=10_mag=1,Masker,bash,0,dash,22050,dash,44100,dash,66150,dash,88200,dash,110250,gash,132300,bash,154350,bash,176400,bash,198450,dash,220500,dash,242550,dash,264600,gash,286650
2_side=r_itd=0_az=10_mag=1,Target,dash,11025,gash,33075,bash,55125,bash,77175,gash,99225,bash,121275,dash,143325,gash,165375,gash,187425,gash,209475,bash,231525,gash,253575,bash,275625,bash,297675
0_practice,Target,gash,0,dash,22050,dash,44100,gash,66150,dash,88200,dash,110250,gash,132300,gash,154350,dash,176400,gash,198450,gash,220500,gash,242550,gash,264600,dash,286650
0_practice,Masker,gash,11025,dash,33075,gash,55125,dash,77175,dash,99225,dash,121275,gash,143325,dash,165375,dash,187425,dash,209475,dash,231525,gash,253575,dash,275625,bash,297675
1_practice,Target,gash,0,dash,22050,dash,44100,dash,66150,gash,88200,dash,110250,gash,132300,dash,154350,gash,176400,dash,198450,gash,220500,gash,242550,gash,264600,bash,286650
1_practice,Masker,dash,11025,dash,33075,dash,55125,dash,77175,gash,99225,dash,121275,gash,143325,dash,165375,dash,187425,gash,209475,gash,231525,gash,253575,dash,275625,dash,297675
2_practice,Target,gash,0,dash,22050,dash,44100,gash,66150,gash,88200,dash,110250,dash,132300,dash,154350,gash,176400,gash,198450,dash,220500,dash,242550,gash,264600,gash,286650
